OFFER_ID,OFFER_DESC,OFFER_TYPE,PRICE,VALIDITY_UNIT,VALIDITY
10001,Forfait Snapi Illimite 15 mins,DATA_BUNDLE,0,Minutes,15
10001,Forfait Snapi Illimite 15 mins,DATA_BUNDLE,0,Minutes,15
10001,Forfait Snapi Illimite 15 mins,DATA_BUNDLE,0,Minutes,15
10001,Forfait Snapi Illimite 15 mins,DATA_BUNDLE,0,Minutes,15
10002,Forfait Snapi Illimite 30 mins,DATA_BUNDLE,0,Minutes,30
10002,Forfait Snapi Illimite 30 mins,DATA_BUNDLE,0,Minutes,30
10002,Forfait Snapi Illimite 30 mins,DATA_BUNDLE,0,Minutes,30
10002,Forfait Snapi Illimite 30 mins,DATA_BUNDLE,0,Minutes,30
10003,Forfait Snapi Illimite 45 mins,DATA_BUNDLE,0,Minutes,45
10003,Forfait Snapi Illimite 45 mins,DATA_BUNDLE,0,Minutes,45
10003,Forfait Snapi Illimite 45 mins,DATA_BUNDLE,0,Minutes,45
10003,Forfait Snapi Illimite 45 mins,DATA_BUNDLE,0,Minutes,45
10004,Forfait Snapi Illimite 60 mins,DATA_BUNDLE,0,Minutes,60
10004,Forfait Snapi Illimite 60 mins,DATA_BUNDLE,0,Minutes,60
10004,Forfait Snapi Illimite 60 mins,DATA_BUNDLE,0,Minutes,60
10004,Forfait Snapi Illimite 60 mins,DATA_BUNDLE,0,Minutes,60
10005,Forfait Snapi Illimite 90 mins,DATA_BUNDLE,0,Minutes,90
10005,Forfait Snapi Illimite 90 mins,DATA_BUNDLE,0,Minutes,90
10005,Forfait Snapi Illimite 90 mins,DATA_BUNDLE,0,Minutes,90
10005,Forfait Snapi Illimite 90 mins,DATA_BUNDLE,0,Minutes,90
10006,Forfait Snapi Illimite 120 mins,DATA_BUNDLE,0,Minutes,120
10006,Forfait Snapi Illimite 120 mins,DATA_BUNDLE,0,Minutes,120
10006,Forfait Snapi Illimite 120 mins,DATA_BUNDLE,0,Minutes,120
10006,Forfait Snapi Illimite 120 mins,DATA_BUNDLE,0,Minutes,120
10008,Forfait Snapi 175Mb 7 jours,DATA_BUNDLE,0,DAY(S),7
10008,Forfait Snapi 175Mb 7 jours,DATA_BUNDLE,0,DAY(S),7
10008,Forfait Snapi 175Mb 7 jours,DATA_BUNDLE,0,DAY(S),7
10008,Forfait Snapi 175Mb 7 jours,DATA_BUNDLE,0,DAY(S),7
10009,Forfait Snapi 28Mb 1 jour + Bonus,DATA_BUNDLE,0,DAY(S),1
10009,Forfait Snapi 28Mb 1 jour + Bonus,DATA_BUNDLE,0,DAY(S),1
10009,Forfait Snapi 28Mb 1 jour + Bonus,DATA_BUNDLE,0,DAY(S),1
10009,Forfait Snapi 28Mb 1 jour + Bonus,DATA_BUNDLE,0,DAY(S),1
100091,Bonus Forfait Snapi 28Mb 1 jour,DATA_BUNDLE,0,DAY(S),1
100091,Bonus Forfait Snapi 28Mb 1 jour,DATA_BUNDLE,0,DAY(S),1
100091,Bonus Forfait Snapi 28Mb 1 jour,DATA_BUNDLE,0,DAY(S),1
100091,Bonus Forfait Snapi 28Mb 1 jour,DATA_BUNDLE,0,DAY(S),1
1001,UCOPEP,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1001,UCOPEP,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
10010,Forfait Snapi 28Mb 1 jour + Bonus2,DATA_BUNDLE,0,DAY(S),1
10010,Forfait Snapi 28Mb 1 jour + Bonus2,DATA_BUNDLE,0,DAY(S),1
10010,Forfait Snapi 28Mb 1 jour + Bonus2,DATA_BUNDLE,0,DAY(S),1
10010,Forfait Snapi 28Mb 1 jour + Bonus2,DATA_BUNDLE,0,DAY(S),1
100102,Bonus Forfait Snapi 56Mb 1 jour,DATA_BUNDLE,0,DAY(S),1
100102,Bonus Forfait Snapi 56Mb 1 jour,DATA_BUNDLE,0,DAY(S),1
100102,Bonus Forfait Snapi 56Mb 1 jour,DATA_BUNDLE,0,DAY(S),1
100102,Bonus Forfait Snapi 56Mb 1 jour,DATA_BUNDLE,0,DAY(S),1
1002,REPES,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1002,REPES,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1003,CONAPEPCO,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1003,CONAPEPCO,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1004,CEPAC-CODECO,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1004,CEPAC-CODECO,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1005,SCC BZV,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1005,SCC BZV,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1006,ONPC,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1006,ONPC,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1007,ODEL,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1007,ODEL,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1008,MUNAMEC,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1008,MUNAMEC,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1009,CNHJC,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1009,CNHJC,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1010,BARREAU DE BZV,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1010,BARREAU DE BZV,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1011,BARREAU DE BZV,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
1011,BARREAU DE BZV,ASSOCIATION_BUNDLE,2000,LS_401,DAY(S)
15000,CAR TRACKING PLAN,DATA_BUNDLE,100,MONTH(S),1
15000,CAR TRACKING PLAN,DATA_BUNDLE,100,MONTH(S),1
15111,PRIVATE APN,DATA_BUNDLE,-1,MONTH(S),1
15111,PRIVATE APN,DATA_BUNDLE,-1,MONTH(S),1
15301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),30
15301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),30
15307,FORFAIT_PROMO_SIMSWAP,DATA_BUNDLE,0,DAY(S),10
15307,FORFAIT_PROMO_SIMSWAP,DATA_BUNDLE,0,DAY(S),10
15990,Forfait MTN SMART 30 jrs-350MB par jour,DATA_BUNDLE,0,DAY(S),30
15990,Forfait MTN SMART 30 jrs-350MB par jour,DATA_BUNDLE,0,DAY(S),30
25163,Forfait ISL Illimite,DATA_BUNDLE,0,YEAR(S),1
25163,Forfait ISL Illimite,DATA_BUNDLE,0,YEAR(S),1
25163,Forfait ISL Illimite,DATA_BUNDLE,0,YEAR(S),1
25163,Forfait ISL Illimite,DATA_BUNDLE,0,YEAR(S),1
25164,ISL 200MB,DATA_BUNDLE,0,MONTH(S),1
25164,ISL 200MB,DATA_BUNDLE,0,MONTH(S),1
25164,ISL 200MB,DATA_BUNDLE,0,MONTH(S),1
25164,ISL 200MB,DATA_BUNDLE,0,MONTH(S),1
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25301,Forfait  SmartPhone 7 jours 500MB,DATA_BUNDLE,0,DAY(S),7
25990,Forfait MTN SMART 30 jrs-350MB par jour,DATA_BUNDLE,0,DAY(S),30
25990,Forfait MTN SMART 30 jrs-350MB par jour,DATA_BUNDLE,0,DAY(S),30
25990,Forfait MTN SMART 30 jrs-350MB par jour,DATA_BUNDLE,0,DAY(S),30
25990,Forfait MTN SMART 30 jrs-350MB par jour,DATA_BUNDLE,0,DAY(S),30
3052,MyMTN Segment,DATA_BUNDLE,0,DAY(S),90
3052,MyMTN Segment,DATA_BUNDLE,0,DAY(S),90
3052,MyMTN Segment,DATA_BUNDLE,0,DAY(S),90
3052,MyMTN Segment,DATA_BUNDLE,0,DAY(S),90
3053,Staff bundle Limit 5GB,DATA_BUNDLE,0,DAY(S),90
3053,Staff bundle Limit 5GB,DATA_BUNDLE,0,DAY(S),90
3053,Staff bundle Limit 5GB,DATA_BUNDLE,0,DAY(S),90
3053,Staff bundle Limit 5GB,DATA_BUNDLE,0,DAY(S),90
330,NDAKO ZONE A&B,DATA_BUNDLE,0,YEAR(S),2
330,NDAKO ZONE A&B,DATA_BUNDLE,0,YEAR(S),2
330,NDAKO ZONE A&B,DATA_BUNDLE,0,YEAR(S),2
330,NDAKO ZONE A&B,DATA_BUNDLE,0,YEAR(S),2
331,NDAKO ZONE C,DATA_BUNDLE,0,YEAR(S),2
331,NDAKO ZONE C,DATA_BUNDLE,0,YEAR(S),2
331,NDAKO ZONE C,DATA_BUNDLE,0,YEAR(S),2
331,NDAKO ZONE C,DATA_BUNDLE,0,YEAR(S),2
33100,Free VPN Staff,DATA_BUNDLE,0,YEAR(S),10
33100,Free VPN Staff,DATA_BUNDLE,0,YEAR(S),10
33100,Free VPN Staff,DATA_BUNDLE,0,YEAR(S),10
33100,Free VPN Staff,DATA_BUNDLE,0,YEAR(S),10
33101,VPN for Staff,DATA_BUNDLE,0, YEAR(S)  ,10
33101,VPN for Staff,DATA_BUNDLE,0, YEAR(S)  ,10
33102,Office 365 Staff,DATA_BUNDLE,0, YEAR(S)  ,11
33102,Office 365 Staff,DATA_BUNDLE,0, YEAR(S)  ,11
33104,Forfait Ookla-Nperf,DATA_BUNDLE,0, YEAR(S)  ,10
33104,Forfait Ookla-Nperf,DATA_BUNDLE,0, YEAR(S)  ,10
33105,MTN Eschool gratuit 30J,DATA_BUNDLE,0, YEAR(S)  ,1
33105,MTN Eschool gratuit 30J,DATA_BUNDLE,0, YEAR(S)  ,1
35001,Maxinet debutant 600MB 1J,DATA_BUNDLE,400, DAY(S)  ,1
35001,Maxinet debutant 600MB 1J,DATA_BUNDLE,400, DAY(S)  ,1
35001,Maxinet debutant 600MB 1J,DATA_BUNDLE,400, DAY(S)  ,1
35001,Maxinet debutant 600MB 1J,DATA_BUNDLE,400, DAY(S)  ,1
35002,Maxinet debutant 900MB 1J,DATA_BUNDLE,600, DAY(S)  ,1
35002,Maxinet debutant 900MB 1J,DATA_BUNDLE,600, DAY(S)  ,1
35002,Maxinet debutant 900MB 1J,DATA_BUNDLE,600, DAY(S)  ,1
35002,Maxinet debutant 900MB 1J,DATA_BUNDLE,600, DAY(S)  ,1
35003,Maxinet debutant 1024MB 1J,DATA_BUNDLE,700, DAY(S)  ,1
35003,Maxinet debutant 1024MB 1J,DATA_BUNDLE,700, DAY(S)  ,1
35003,Maxinet debutant 1024MB 1J,DATA_BUNDLE,700, DAY(S)  ,1
35003,Maxinet debutant 1024MB 1J,DATA_BUNDLE,700, DAY(S)  ,1
35004,Maxinet debutant 1536MB 1J,DATA_BUNDLE,1200, DAY(S)  ,1
35004,Maxinet debutant 1536MB 1J,DATA_BUNDLE,1200, DAY(S)  ,1
35004,Maxinet debutant 1536MB 1J,DATA_BUNDLE,1200, DAY(S)  ,1
35004,Maxinet debutant 1536MB 1J,DATA_BUNDLE,1200, DAY(S)  ,1
35005,Maxinet debutant 800MB 7J,DATA_BUNDLE,800, DAY(S)  ,7
35005,Maxinet debutant 800MB 7J,DATA_BUNDLE,800, DAY(S)  ,7
35005,Maxinet debutant 800MB 7J,DATA_BUNDLE,800, DAY(S)  ,7
35005,Maxinet debutant 800MB 7J,DATA_BUNDLE,800, DAY(S)  ,7
35006,Maxinet debutant 2560MB 7J,DATA_BUNDLE,2500, DAY(S)  ,7
35006,Maxinet debutant 2560MB 7J,DATA_BUNDLE,2500, DAY(S)  ,7
35006,Maxinet debutant 2560MB 7J,DATA_BUNDLE,2500, DAY(S)  ,7
35006,Maxinet debutant 2560MB 7J,DATA_BUNDLE,2500, DAY(S)  ,7
35007,Maxinet debutant 3072MB 7J,DATA_BUNDLE,3000, DAY(S)  ,7
35007,Maxinet debutant 3072MB 7J,DATA_BUNDLE,3000, DAY(S)  ,7
35007,Maxinet debutant 3072MB 7J,DATA_BUNDLE,3000, DAY(S)  ,7
35007,Maxinet debutant 3072MB 7J,DATA_BUNDLE,3000, DAY(S)  ,7
35008,Maxinet debutant 4608MB 7J,DATA_BUNDLE,4500, DAY(S)  ,7
35008,Maxinet debutant 4608MB 7J,DATA_BUNDLE,4500, DAY(S)  ,7
35008,Maxinet debutant 4608MB 7J,DATA_BUNDLE,4500, DAY(S)  ,7
35008,Maxinet debutant 4608MB 7J,DATA_BUNDLE,4500, DAY(S)  ,7
35009,Maxinet debutant 10240MB 7J,DATA_BUNDLE,7000, DAY(S)  ,7
35009,Maxinet debutant 10240MB 7J,DATA_BUNDLE,7000, DAY(S)  ,7
35009,Maxinet debutant 10240MB 7J,DATA_BUNDLE,7000, DAY(S)  ,7
35009,Maxinet debutant 10240MB 7J,DATA_BUNDLE,7000, DAY(S)  ,7
35010,Maxinet debutant 700MB 3J,DATA_BUNDLE,800, DAY(S)  ,3
35010,Maxinet debutant 700MB 3J,DATA_BUNDLE,800, DAY(S)  ,3
35010,Maxinet debutant 700MB 3J,DATA_BUNDLE,800, DAY(S)  ,3
35010,Maxinet debutant 700MB 3J,DATA_BUNDLE,800, DAY(S)  ,3
35015,BONUS Fidelite 100MB 1J,DATA_BUNDLE,0,DAY(S),1
35015,BONUS Fidelite 100MB 1J,DATA_BUNDLE,0,DAY(S),1
35015,BONUS Fidelite 100MB 1J,DATA_BUNDLE,0,DAY(S),1
35015,BONUS Fidelite 100MB 1J,DATA_BUNDLE,0,DAY(S),1
35016,BONUS Fidelite 250MB 1J,DATA_BUNDLE,0,DAY(S),1
35016,BONUS Fidelite 250MB 1J,DATA_BUNDLE,0,DAY(S),1
35016,BONUS Fidelite 250MB 1J,DATA_BUNDLE,0,DAY(S),1
35016,BONUS Fidelite 250MB 1J,DATA_BUNDLE,0,DAY(S),1
35017,BONUS Fidelite 500MB 5J,DATA_BUNDLE,0,DAY(S),5
35017,BONUS Fidelite 500MB 5J,DATA_BUNDLE,0,DAY(S),5
35017,BONUS Fidelite 500MB 5J,DATA_BUNDLE,0,DAY(S),5
35017,BONUS Fidelite 500MB 5J,DATA_BUNDLE,0,DAY(S),5
35018,BONUS Fidelite 1GB 1J,DATA_BUNDLE,0,DAY(S),1
35018,BONUS Fidelite 1GB 1J,DATA_BUNDLE,0,DAY(S),1
35018,BONUS Fidelite 1GB 1J,DATA_BUNDLE,0,DAY(S),1
35018,BONUS Fidelite 1GB 1J,DATA_BUNDLE,0,DAY(S),1
35019,BONUS Fidelite 1GB 3J,DATA_BUNDLE,0,DAY(S),3
35019,BONUS Fidelite 1GB 3J,DATA_BUNDLE,0,DAY(S),3
35019,BONUS Fidelite 1GB 3J,DATA_BUNDLE,0,DAY(S),3
35019,BONUS Fidelite 1GB 3J,DATA_BUNDLE,0,DAY(S),3
35020,BONUS Fidelite 1GB 7J,DATA_BUNDLE,0,DAY(S),7
35020,BONUS Fidelite 1GB 7J,DATA_BUNDLE,0,DAY(S),7
35020,BONUS Fidelite 1GB 7J,DATA_BUNDLE,0,DAY(S),7
35020,BONUS Fidelite 1GB 7J,DATA_BUNDLE,0,DAY(S),7
35021,Forfait 1 jour 20MB 256Kbps,DATA_BUNDLE,106,DAY(S),1
35021,Forfait 1 jour 20MB 256Kbps,DATA_BUNDLE,106,DAY(S),1
35021,Forfait 1 jour 20MB 256Kbps,DATA_BUNDLE,106,DAY(S),1
35021,Forfait 1 jour 20MB 256Kbps,DATA_BUNDLE,106,DAY(S),1
350211,BONUS Forfait 1 jour 20MB 256Kbps,DATA_BUNDLE,-1, DAY(S),1
350211,BONUS Forfait 1 jour 20MB 256Kbps,DATA_BUNDLE,-1, DAY(S),1
350211,BONUS Forfait 1 jour 20MB 256Kbps,DATA_BUNDLE,-1, DAY(S),1
350211,BONUS Forfait 1 jour 20MB 256Kbps,DATA_BUNDLE,-1, DAY(S),1
35022,BONUS Fidelite 7GB 7J,DATA_BUNDLE,0,DAY(S),7
35022,BONUS Fidelite 7GB 7J,DATA_BUNDLE,0,DAY(S),7
35022,BONUS Fidelite 7GB 7J,DATA_BUNDLE,0,DAY(S),7
35022,BONUS Fidelite 7GB 7J,DATA_BUNDLE,0,DAY(S),7
35023,GA-No-Churn-A2211,BONUS_DATA,0,DAY(S),1
35023,GA-No-Churn-A2211,BONUS_DATA,0,DAY(S),1
35023,GA-No-Churn-A2211,BONUS_DATA,0,DAY(S),1
35023,GA-No-Churn-A2211,BONUS_DATA,0,DAY(S),1
35024,GA-No-Churn-A2221,BONUS_DATA,0,DAY(S),1
35024,GA-No-Churn-A2221,BONUS_DATA,0,DAY(S),1
35024,GA-No-Churn-A2221,BONUS_DATA,0,DAY(S),1
35024,GA-No-Churn-A2221,BONUS_DATA,0,DAY(S),1
35025,Forfait 1 jour 61MB,DATA_BUNDLE,255,DAY(S),1
35025,Forfait 1 jour 61MB,DATA_BUNDLE,255,DAY(S),1
35025,Forfait 1 jour 61MB,DATA_BUNDLE,255,DAY(S),1
35025,Forfait 1 jour 61MB,DATA_BUNDLE,255,DAY(S),1
350250,Forfait 1 jour 61MB Remise,DATA_BUNDLE,128,DAY(S),1
350250,Forfait 1 jour 61MB Remise,DATA_BUNDLE,128,DAY(S),1
350250,Forfait 1 jour 61MB Remise,DATA_BUNDLE,128,DAY(S),1
350250,Forfait 1 jour 61MB Remise,DATA_BUNDLE,128,DAY(S),1
3502501,1st_Forfait 1 jour 61MB@255F,DATA_BUNDLE,0,LS_CLASSIC_103,DAY(S)
3502501,1st_Forfait 1 jour 61MB@255F,DATA_BUNDLE,0,LS_CLASSIC_103,DAY(S)
3502501,1st_Forfait 1 jour 61MB@255F,DATA_BUNDLE,0,LS_CLASSIC_103,DAY(S)
3502501,1st_Forfait 1 jour 61MB@255F,DATA_BUNDLE,0,LS_CLASSIC_103,DAY(S)
3502502,1st_Forfait 1 jour 61MB@255F,DATA_BUNDLE,0,LS_CLASSIC_103,DAY(S)
3502502,1st_Forfait 1 jour 61MB@255F,DATA_BUNDLE,0,LS_CLASSIC_103,DAY(S)
3502502,1st_Forfait 1 jour 61MB@255F,DATA_BUNDLE,0,LS_CLASSIC_103,DAY(S)
3502502,1st_Forfait 1 jour 61MB@255F,DATA_BUNDLE,0,LS_CLASSIC_103,DAY(S)
350251,BONUS Forfait 1 jour 61 Mb,DATA_BUNDLE,-1,DAY(S),1
350251,BONUS Forfait 1 jour 61 Mb,DATA_BUNDLE,-1,DAY(S),1
350251,BONUS Forfait 1 jour 61 Mb,DATA_BUNDLE,-1,DAY(S),1
350251,BONUS Forfait 1 jour 61 Mb,DATA_BUNDLE,-1,DAY(S),1
350251,BONUS Forfait 1 jour 61 Mb,DATA_BUNDLE,-1,DAY(S),1
350251,BONUS Forfait 1 jour 61 Mb,DATA_BUNDLE,-1,DAY(S),1
350251,BONUS Forfait 1 jour 61 Mb,DATA_BUNDLE,-1,DAY(S),1
350251,BONUS Forfait 1 jour 61 Mb,DATA_BUNDLE,-1,DAY(S),1
350251,BONUS Forfait 1 jour 61 Mb,DATA_BUNDLE,-1,DAY(S),1
350251,BONUS Forfait 1 jour 61 Mb,DATA_BUNDLE,-1,DAY(S),1
350251,BONUS Forfait 1 jour 61 Mb,DATA_BUNDLE,-1,DAY(S),1
350251,BONUS Forfait 1 jour 61 Mb,DATA_BUNDLE,-1,DAY(S),1
350253,BONUS Forfait 1 jour 61MBx2,DATA_BUNDLE,0,DAY(S),1
350253,BONUS Forfait 1 jour 61MBx2,DATA_BUNDLE,0,DAY(S),1
350253,BONUS Forfait 1 jour 61MBx2,DATA_BUNDLE,0,DAY(S),1
350253,BONUS Forfait 1 jour 61MBx2,DATA_BUNDLE,0,DAY(S),1
350258,Forfait 61MB+ 79MB 1jour,UPSELL,45,DAY(S),1
350258,Forfait 61MB+ 79MB 1jour,UPSELL,45,DAY(S),1
350259,Forfait 61MB + 39MB 1jour,UPSELL,45,DAY(S),1
350259,Forfait 61MB + 39MB 1jour,UPSELL,45,DAY(S),1
35026,BONUS TNN 200MB,DATA_BUNDLE,0,DAY(S),1
35026,BONUS TNN 200MB,DATA_BUNDLE,0,DAY(S),1
35027,Forfait 1 jour nuit 325MB Max,DATA_BUNDLE,650,DAY(S),1
35027,Forfait 1 jour nuit 325MB Max,DATA_BUNDLE,650,DAY(S),1
35027,Forfait 1 jour nuit 325MB Max,DATA_BUNDLE,650,DAY(S),1
35027,Forfait 1 jour nuit 325MB Max,DATA_BUNDLE,650,DAY(S),1
350270,Forfait 1 jour nuit 325MB Remise,DATA_BUNDLE,325,DAY(S),1
350270,Forfait 1 jour nuit 325MB Remise,DATA_BUNDLE,325,DAY(S),1
350270,Forfait 1 jour nuit 325MB Remise,DATA_BUNDLE,325,DAY(S),1
350270,Forfait 1 jour nuit 325MB Remise,DATA_BUNDLE,325,DAY(S),1
350271,BONUS Forfait nuit 1 jour 325MB,DATA_BUNDLE,650,DAY(S),1
350271,BONUS Forfait nuit 1 jour 325MB,DATA_BUNDLE,650,DAY(S),1
350271,BONUS Forfait nuit 1 jour 325MB,DATA_BUNDLE,650,DAY(S),1
350271,BONUS Forfait nuit 1 jour 325MB,DATA_BUNDLE,650,DAY(S),1
350271,BONUS Forfait nuit 1 jour 325MB,DATA_BUNDLE,650,DAY(S),1
350271,BONUS Forfait nuit 1 jour 325MB,DATA_BUNDLE,650,DAY(S),1
350271,BONUS Forfait nuit 1 jour 325MB,DATA_BUNDLE,650,DAY(S),1
350271,BONUS Forfait nuit 1 jour 325MB,DATA_BUNDLE,650,DAY(S),1
350271,BONUS Forfait nuit 1 jour 325MB,DATA_BUNDLE,650,DAY(S),1
350271,BONUS Forfait nuit 1 jour 325MB,DATA_BUNDLE,650,DAY(S),1
350271,BONUS Forfait nuit 1 jour 325MB,DATA_BUNDLE,650,DAY(S),1
350271,BONUS Forfait nuit 1 jour 325MB,DATA_BUNDLE,650,DAY(S),1
35028,Pack Premium Internet,DATA_BUNDLE,15000,DAY(S),30
35028,Pack Premium Internet,DATA_BUNDLE,15000,DAY(S),30
35028,Pack Premium Internet,DATA_BUNDLE,15000,DAY(S),30
35028,Pack Premium Internet,DATA_BUNDLE,15000,DAY(S),30
35029,Renew Pack Premium,DATA_BUNDLE,5000,DAY(S),30
35029,Renew Pack Premium,DATA_BUNDLE,5000,DAY(S),30
35029,Renew Pack Premium,DATA_BUNDLE,5000,DAY(S),30
35029,Renew Pack Premium,DATA_BUNDLE,5000,DAY(S),30
35030,Pack Standard Internet,DATA_BUNDLE,5000,DAY(S),30
35030,Pack Standard Internet,DATA_BUNDLE,5000,DAY(S),30
35030,Pack Standard Internet,DATA_BUNDLE,5000,DAY(S),30
35030,Pack Standard Internet,DATA_BUNDLE,5000,DAY(S),30
35031,Renew Pack Standard Internet,DATA_BUNDLE,5000,DAY(S),30
35031,Renew Pack Standard Internet,DATA_BUNDLE,5000,DAY(S),30
35031,Renew Pack Standard Internet,DATA_BUNDLE,5000,DAY(S),30
35031,Renew Pack Standard Internet,DATA_BUNDLE,5000,DAY(S),30
35034,Forfait 30 jours 10GB Max,DATA_BUNDLE,26500,DAY(S),30
35034,Forfait 30 jours 10GB Max,DATA_BUNDLE,26500,DAY(S),30
35034,Forfait 30 jours 10GB Max,DATA_BUNDLE,26500,DAY(S),30
35034,Forfait 30 jours 10GB Max,DATA_BUNDLE,26500,DAY(S),30
350341,BONUS Forfait 30 jours 10GB,DATA_BUNDLE,26500,DAY(S),30
350341,BONUS Forfait 30 jours 10GB,DATA_BUNDLE,26500,DAY(S),30
350341,BONUS Forfait 30 jours 10GB,DATA_BUNDLE,26500,DAY(S),30
350341,BONUS Forfait 30 jours 10GB,DATA_BUNDLE,26500,DAY(S),30
350341,BONUS Forfait 30 jours 10GB,DATA_BUNDLE,26500,DAY(S),30
350341,BONUS Forfait 30 jours 10GB,DATA_BUNDLE,26500,DAY(S),30
350341,BONUS Forfait 30 jours 10GB,DATA_BUNDLE,26500,DAY(S),30
350341,BONUS Forfait 30 jours 10GB,DATA_BUNDLE,26500,DAY(S),30
350341,BONUS Forfait 30 jours 10GB,DATA_BUNDLE,26500,DAY(S),30
350341,BONUS Forfait 30 jours 10GB,DATA_BUNDLE,26500,DAY(S),30
350341,BONUS Forfait 30 jours 10GB,DATA_BUNDLE,26500,DAY(S),30
350341,BONUS Forfait 30 jours 10GB,DATA_BUNDLE,26500,DAY(S),30
350343,BONUS Forfait 30 jours 10GBx2,DATA_BUNDLE,0,DAY(S),30
350343,BONUS Forfait 30 jours 10GBx2,DATA_BUNDLE,0,DAY(S),30
350343,BONUS Forfait 30 jours 10GBx2,DATA_BUNDLE,0,DAY(S),30
350343,BONUS Forfait 30 jours 10GBx2,DATA_BUNDLE,0,DAY(S),30
35035,Forfait 30 jours 20GB Max,DATA_BUNDLE,35000,DAY(S),30
35035,Forfait 30 jours 20GB Max,DATA_BUNDLE,35000,DAY(S),30
35035,Forfait 30 jours 20GB Max,DATA_BUNDLE,35000,DAY(S),30
35035,Forfait 30 jours 20GB Max,DATA_BUNDLE,35000,DAY(S),30
350351,BONUS Forfait 30 jours 20GB,DATA_BUNDLE,42500,DAY(S),30
350351,BONUS Forfait 30 jours 20GB,DATA_BUNDLE,42500,DAY(S),30
350351,BONUS Forfait 30 jours 20GB,DATA_BUNDLE,42500,DAY(S),30
350351,BONUS Forfait 30 jours 20GB,DATA_BUNDLE,42500,DAY(S),30
350351,BONUS Forfait 30 jours 20GB,DATA_BUNDLE,42500,DAY(S),30
350351,BONUS Forfait 30 jours 20GB,DATA_BUNDLE,42500,DAY(S),30
350351,BONUS Forfait 30 jours 20GB,DATA_BUNDLE,42500,DAY(S),30
350351,BONUS Forfait 30 jours 20GB,DATA_BUNDLE,42500,DAY(S),30
